Wo,Tag,Datum,Uhrzeit,Heim,Ergebnis,Auswärts,Zuschauerzahl,Spielort,Schiedsrichter,Spielbericht,Hinweise
30,Do.,27.04.2023,20:30,Sion,1–2,Basel,,Stade de Tourbillon,Lukas Fähndrich,Spielbericht,
30,Do.,27.04.2023,20:30,Luzern,3–1,FC Winterthur,,swissporarena,Luca Piccolo,Spielbericht,
31,Sa.,29.04.2023,20:30,Lugano,5–1,Grasshopper,3.627,Stadio di Cornaredo,Stefan Horisberger,Spielbericht,
31,Sa.,29.04.2023,20:30,Servette FC,1–1,St. Gallen,7.072,Stade de Genève,Sandro Schärer,Spielbericht,
31,So.,30.04.2023,14:15,Zürich,2–2,Sion,14.608,Stadion Letzigrund,Sven Wolfensberger,Spielbericht,
31,So.,30.04.2023,16:30,Young Boys,5–1,Luzern,31.500,Stadion Wankdorf,Luca Cibelli,Spielbericht,
31,So.,30.04.2023,16:30,FC Winterthur,1–4,Basel,8.400,Stadion Schützenwiese,Fedayi San,Spielbericht,
32,Sa.,06.05.2023,18:00,Sion,0–1,FC Winterthur,9.800,Stade de Tourbillon,Luca Cibelli,Spielbericht,
32,Sa.,06.05.2023,20:30,St. Gallen,0–2,Young Boys,18.779,Kybunpark,Luca Piccolo,Spielbericht,
32,So.,07.05.2023,14:15,Luzern,2–2,Lugano,14.358,swissporarena,Sven Wolfensberger,Spielbericht,
32,So.,07.05.2023,16:30,Grasshopper,2–3,Servette FC,5.473,Stadion Letzigrund,Anojen Kanagasingam,Spielbericht,
32,So.,07.05.2023,16:30,Basel,0–2,Zürich,27.295,St. Jakob-Park,Alessandro Dudic,Spielbericht,
33,Sat,2023-05-13,18:00,Grasshopper,2–0,Luzern,5135,Stadion Letzigrund,Stefan Horisberger,Match Report,
33,Sat,2023-05-13,20:30,Servette FC,5–0,Sion,14188,Stade de Genève,Urs Schnyder,Match Report,
33,Sun,2023-05-14,14:15,Young Boys,1–1,Zürich,,Stadion Wankdorf,Luca Piccolo,Match Report,
33,Sun,2023-05-14,16:30,St. Gallen,6–1,Basel,18846,Kybunpark,Luca Cibelli,Match Report,
33,Sun,2023-05-14,16:30,Lugano,2–1,FC Winterthur,3035,Stadio di Cornaredo,Esther Staubli,Match Report,
34,Sat,2023-05-20,18:00,FC Winterthur,0–1,Servette FC,8000,Stadion Schützenwiese,Stefan Horisberger,Match Report,
35,Sat,2023-05-25,20:30,Sion,1–2,Luzern,5500,Stade de Tourbillon,Urs Schnyder,Match Report,
35,Sat,2023-05-25,20:30,Servette FC,3–3,Basel,12353,Stade de Genève,Esther Staubli,Match Report,
35,Sat,2023-05-25,20:30,Grasshopper,2–2,St. Gallen,4048,Stadion Letzigrund,Luca Piccolo,Match Report,
35,Sat,2023-05-25,20:30,Lugano,2–0,Young Boys,3350,Stadio di Cornaredo,Luca Cibelli,Match Report,
35,Sat,2023-05-25,20:30,FC Winterthur,0–2,Zürich,8400,Stadion Schützenwiese,Lukas Fähndrich,Match Report,
36,Mon,2023-05-29,16:30,Young Boys,2–1,FC Winterthur,31500,Stadion Wankdorf,Luca Piccolo,Match Report,
36,Mon,2023-05-29,16:30,Basel,3–1,Grasshopper,26611,St. Jakob-Park,Sven Wolfensberger,Match Report,
36,Mon,2023-05-29,16:30,St. Gallen,4–0,Sion,18423,Kybunpark,Luca Cibelli,Match Report,
36,Mon,2023-05-29,16:30,Zürich,2–3,Lugano,17672,Stadion Letzigrund,Alessandro Dudic,Match Report,
36,Mon,2023-05-29,16:30,Luzern,0–1,Servette FC,15872,swissporarena,Mirel Turkes,Match Report,
